순서,리뷰
397,"기능이 많아서 다 사용할 수 있을까 싶어 고민했는데
오븐 본 순간 잘샀다 싶어요!!
여러 기능이 합쳐져서
집도 좁은데 광파오븐 하나면 놓으면 되니 공간 활용에도 넘 좋아요.
신혼인데 오븐 연구하면서 예쁘게 잘 사용하려구요.
배송설치 기사님들도 넘 친절하시고
사용법도 잘 알려주시고 가셨어요."
398,디자인이 매우매우 예뻐요!! 모든기능이 한제품에 있으니 정말 편리해요!!!
399,"#이벤트참여
라이브 방송할 때 저렴한 가격에 잘 샀습니다.
구매후 배송 오는데 열흘 정도 걸린 거 같습니다.
엘지 공홈에서 구매하니 띵큐앱에 자동으로 등록되는 게 신기하네요.
구이 기능이나 오븐 기능 모두 만족하고, 전자레인지도 출력이 높아 좋네요.
아이와 함께 빵도 만들고, 마카롱도 만들고 하니 오븐 하나로도 삶이 더 다채로워진 기분입니다.
앞으로도 다양한 기능을 활용해서 맛있는 요리들을 만들어 볼 생각입니다."
400,"런칭 이벤트로 구매해서 제품 설치 했습니다.
기사님 너무 친절하시네요. 앞으로 맛있는 음식을 해먹을 수 있어서 기대가 됩니다."
401,"#이벤트참여
에어프라이기가 필요한데 별도로 따로 구매하기 싫어서 광파오븐 몇달 고민하다가 신제품 나온거 보고 구매했어요. 훨 비싸지만 신기능도 추가되고 더 좋네요. 에어프라이 기능만 돈가쓰 돌려봤는데 빠싹하게 잘되네요. 컬러 고민도 많았는데 베이지가 인기가 더 많은거같지만 화이트 가전이 많아서 화이트로 했는데 넘 이쁘네요. 요리 책자가 있다고 설명서에 써있는데 없어서 문의하니까 이제 빠졌다고하네요. 따로 프린트해서 보고 있어요. 세련되니 만족합니다~~!"
402,"#이벤트참여

오랫동안 사용하던 전자렌지가 수명이 다 하여
전자렌지와 오븐 에어프라이어까지 가능한 복합오븐을 고민하던 도중 오븐은 LG의 광파오븐이 좋다는 소문을 듣고 이것저것 알아보다가 이 제품을 선택하게 됐습니다.
다른제품들에는 없는 스팀청소기능이 너무나도 만족스러운 제품이고, 디자인도 너무 마음에 드네요.

받자마자 스팀청소 한번 한 후 바로 생선구이 해 봤는데 너무나 잘 되서 만족스럽습니다~"
403,"#이벤트참여
광파오븐을 사려고 고민을 오랫동안 하다보니 수비드도 되는 신상이 나와서 알림신청해놨다가 바로 주문했어요
주방공간이 좁은데 전자레인지와 에어프라이어, 오븐 다 빼고 이거 하나로 정리했네요^^
냄새와 뒷처리가 힘들어 잘 못했던 생선구이를 해봤는데 맛있게 잘 되네요
다만 조리후 스팀청소와 탈취를 여러번 했는데 냄새도 남고 안쪽 기름기 청소가 잘 안되는데 방법이 있을까요?ㅜㅜ
조만간 수비드도 도전해보려구요
요즘은 요리도 장비빨인데 큰도움이 되네요"
404,"#리뷰쓰고 신세계 상품권 받아가세요! #이벤트 참여
민트색 너무 아쁘고, 기능이 많지만 어렵지 않게 사용할 수 있어 좋아요. 스팀 청소 및 건조등 다양한 옵션이 많아요~~"
405,"선택한 설정일에서 몇일 밀린건 아쉽지만ㅜㅜ,
사용은 진짜 잘하고있어요 기존 오븐이랑 전자레인지
처분하고 공간 차지도 덜하고!!!!자동요리 기능에
토스트기능 사용한건데 진짜 잘 구워져용!!"
406,"#이벤트참여
베이지랑 화이트 중에 고민하다가 화이트로 결정했는데 잘선택했어요 새하양보다는 약간 베이지 첨가된 화이트에요
베이킹하려고 구매했습니다 잘쓰겠습니다 기능도 많고 하니씩 배워가야겠어요 와이파이로 어플 연동도 되고 좋습니다"
407,"리뷰도 쓰는겸 겸사겸사 #이벤트참여 해봅니다.

지난 모델 ML32EW1를 구매하려다가 새로운 모델이 나왔다는 것을 알고 구매했습니다.
지난 모델의 경우 에어프라이 온도를 임의 조정할 수 없고 자동조리로만 된다 하던데...

그 단점이 보완된 제품이라 그런지 임의 조정이 손쉽게 되어서 좋았습니다.
기존 에어프라이기 사용하던 그대로 사용하는 느낌? ㅎㅎ

디자인도 좋고 하마터면 이전 모델 구매할 뻔했는데 타이밍 적절하게 새로운 제품이 나와서 정말 다행이다 싶은 생각 뿐이네요.

만족도? 최상입니다.

#이벤트참여"
408,"#이벤트참여
이번에 추가된 에어수비드 기능 최고입니다.
제품 디자인도 멋지고, 맛도 최고네요~
앞으로 집에서 요리를 더 자주 할 것 같습니다"
409,"#이벤트참여
전세대 보완할부분(문 고정과 에어프라이시 시간설정)
모두 보완되서 고민없이 질렀어요!!
생각대로 너무이쁘고 기능 최고에요♡
가전은 역시 LG"
410,"일단 외관이 심플하면서도 고급스러워서 주방 분위기를 살리는데 한몫하네요.
첫날은 생선구이를 헸는데 오랜만에 맛있는 생선구이를 먹었구요. 두번째는 통삼겹구이를 해봤는데 비쥬얼도 맛도 최고였어요. 앞으로 자주 애용할것 같아요."
411,"#이벤트참여

에어프라이어 온도 조절이 가능한 점 등 저번 모델보다 기능이 추가된 것이 많아 새 모델을 구매했습니다. Thinq 앱과 연동성이 좋아서 쓰기 편하네요."
412,"상품 받자마자 온가족 모여서 삼겹살 파티 했는데요. 많은 양을 한번에 넣고 했는데도 골고루 적당하게 익더라고요. 너무 맛있었습니다. 전자렌지 돌릴 때 조용해서 좋았어요. 다양한 기능이 있어서 매일매일 사용하고 있습니다. 좋아요.

#이벤트참여"
413,"lg 광파오븐을 14년동안 잘 쓰다가
에어 수비드 기능에 혹 해서 신재품으로 바꿔 봤습니다

사실 에어수비드 기능에 대해
리뷰가 없어서 큰 기대를 하지 않았는데
깜놀 했네요

스테이크 59도로 2시간
(혹시나 해서 중간에 뒤집어 주기 한번)했는데
리버스시어링하고 고기 썰었더니
부드럽고 육즙 팡~
맛난 스테이크 덮밥이 완성되었어요

다른 기능은 원래 써오던거라 어렵지 않았고
에어수비드 기능 넘 좋네요

그리고 우리집 냉장고랑 찰떡이라 대 만족합니다"
414,"#이벤트참여

광파오븐을 처음 사면서 사는김에 제일 좋은 신규 제품으로 사야겠다 하고 큰맘 먹고 이 제품을 구매했습니다.

일단 사이즈 엄청 크고 디자인도 매우 예뻐서 만족하구요.
기능도 많고 특히 휴대폰과 연동시켜 놓으면 요리가 완료되었을 때 알림으로 음식이 완료되었다고 알려주어서 다른 일을 하고 있을 때도 알림을 받을 수 있어 편리합니다.

기능이 많고 활용도가 높아 자주 사용할 수 있어서 좋구요. 고장 없이 오래 사용했으면 좋겠습니다."
415,"이번에 이사하면서 전자레인지, 에어프라이어, 요거트메이커, 오븐 들어갈 자리가 없어서 요걸로 한번에 될수 있게 주문했어요. 기능도 많고 정말 편합니다! 최고에요. #이벤트참여"
416,"저희는 아일랜드를 디자인할 때 LG 광파 오븐 레인지를 사려고 아예 사이즈를 맞춰서 제작했습니다.
디자인 자체가 예뻐서 밖에다 올리고 싶은 마음도 들었지만 레인지, 오븐, 에어프라이, 수비드 등등 기능을 많이
가지고 있어서 제품의 크기가 좀 있습니다.
저희처럼 인테리어를 새로 하시는 분들에게는 제품에 맞게 아일랜드나 키큰장 등에 미리 사이즈를 고려 하셔서 넣는 걸 추천 드립니다~~!!!
어쨌든 디자인 자체는 고급지고 예쁩니다~!
가전은 LG가 최고 인 것 같습니다~!!"
417,"광파에 저희집 주방이 비치네욜 ㅋㅎ
광파 구매할까 전자레인지 구매할까 고민하신다면 그냥 바로 광파 추천 왜냐 에어프라이어 되고 스팀전자레인지도 되서 너무 좋더라구요 식은밥 전자레인지에 스팀으로 돌려서 먹으면 그냥 갓 지은밥 이에요 최고"
418,"#이벤트 참여
예쁜 디자인과 여러 가지 능력을 가진 제품으로 기대하고 있으며 다양한 음식을 만들 수 있어 흥분됩니다."
419,"이번 이사때는 엘지로 가전제품을 많이 바꿨는데 광파오븐 새로나온다고 해서 기다렸다가 따로 구매했네요
전 모델보다 이쁜거같고 ㅎ
스팀기능이 확실이 좋은 것 같아요
수비드 기능도 써봐야겠네요~
#리뷰이벤트#lg광파오븐"
420,정말 편리하고 좋아요 삼겹살도 잘 구어지고 냉동피자도 맛있게 먹을수 있어요!
421,"이번에 새집 들어가면서
LG가전으로 세트 맞추고자
열심히 정보 찾던 와중에
타이밍 좋게 오브제컬렉션 광파 오븐
신모델 출시에 맞춰 구매하게
되었네요. 수비드 기능이 추가
되었고 색상변경도 자유로우며
무엇보다 디자인이 한층 더 고급스러워진게
맘에 꼭 들었습니다. 오븐기 장은
사전에 업체 선정하여 빌트인으로
제작하였고 기능은 씽큐?를 통해
열심히 배우고 있답니다.
어떤 음식을 어디까지 조리가
가능할지 앞으로의 사용기가
궁금해지네요 ^^"
422,처음에 가격때문에 고민했는데 받고 보니 넘 좋으네요~ㅎ 후회하지 않습니다.
423,"요새 중학생 딸아이가 베이킹에 빠져서
매일 이것저것 만들고 있어요
새 오븐을 생일 선물로 받고 싶다고 하길래
기존에 사용하던 10년 넘은 광파오븐을 버리고
새로 구입하게 됐어요
에프에 발효 기능도 있고, 디자인도 예뻐서 무척 마음에 들어 했어요
까칠한 중2가 활짝 웃어주니 저도 기분이 좋네요 ㅎㅎ"
424,"오래된 광파오븐을 정리하고 LG제품으로 새로 장만했어요.
라이브 방송 보면서 아이보리랑 핑크중에 고민했었는데
포인트를 주고자 핑크로 결정했어요. 실물을 보니 핑크~
탁월한 선택이였어요. 사진은 조금 어둡게 나온거고
딸기우유에 흰색 한방울을 더 넣은 파스텔 컬러라 화사하고
예뻐요~

필요한 기능들이 다 있어서 편리하고 소리도 생각보다 작아서
놀랐어요~ 아직은 다양한 음식은 못해봤지만 렌지기능이나 돈까스 에프기능은 만족중입니다~^^

음식하고나서 탈취 기능으로 돌려 주기도 하고
스팀으로 자주 청소 중인데 너무 편합니다~

참, 사용하기 전에 닦아 주고 돌려 줘야해요. 닦으면 시커멓게 좀 뭍어 나오고, 공회전하면 새거 냄새가 나서 몇 번 돌려 주었어요.

#이벤트 참여"
425,"#이벤트참여

10년만에 기존에 쓰던 광파오븐을 교체했습니다. 마침 신제품이 나와서 정말 다행이네요 ㅎㅎㅎ 언제나 믿고 쓰는 LG 입니다. 성능 및 디자인 모두 만족합니다 ^^"
426,"기존 전모델로 샀다가 배송이늦는김에 새로출시된걸로샀는데
마음에들어요"
427,"#이벤트참여

신제품답게 인기가 많은지 배송일이 연기되어
처음 안내받은 배송일보다 늦게 받았네요!
기능이 많아서 다양한 요리를 해먹을 수 있어 설레네용😁
받자마자 에그타르트를 데워봤는데
조작법도 간단하고 겉바속촉으로 잘 데워져서 맛있게 먹었어요
주말에 다양한 요리도 도전해볼거에요!"
428,"#이벤트참여 #리뷰이벤트
라이브쇼를 보면서 디자인도 예쁘고, 에어수비드 기능에 반해서 바로 구입했어요!
구매가 많았는지, 배송일이 계속 밀리다가 오늘에서야 배송받고, 설치했네요! 이번 주말에 처음으로 해 먹을 건데, 너무 기대가 큽니다!
일단 설치되어 있는 것 자체로 인테리어가 되는 느낌이에요! 만족합니다~!"
429,"정말 너무 예뻐서 만족스럽습니다!! 내부도 생각보다 꽤 크고, 안정적이에요.
렌지 성능도 좋아요. 주말에 베이킹해보려고요 ㅎㅎ
청소가 참 걱정이많아서 고민이많았는데, 스팀청소기능이 있어서 때불려 닦기 좋을 것 같아요 ~"
430,"#이벤트참여
신제품이 나왔다길래 주문했는데 디자인도 성능도 너무 맘에 들어요 광파오븐과 전자레인지 에어프라이 기능 모두 사용할 수 있다는 점이 정말 좋습니다
광파오븐 하나로 이 모든 기능을 사용할 수 있다니 너무 좋습니다 강력 추천합니다"
431,"2년동안 엘지 광파오븐 눈독 들이다가 신제품 나왔다고 해서 후딱 구매했네요.
평은 좋았으나 단점이었던 오븐 문짝과 에어프라이어 수동 기능이 개선되어 너무 좋네요.

고등어구이 해먹었는데 스팀청소와 탈취기능 쓰니 비린냄새가 많이 줄더군요.
군고구마도 해먹었는데 넘 맛나요. ^^

또 무슨요리 할지 고민입니다
넘 이쁘고 기능 좋은 오븐 구매 추천합니다.

#이벤트 참여"
432,"#이벤트참여 #리뷰이벤트
3/16 주문해서 4/11 오늘 받았습니다.
엄마가 사용하시던 오븐레인지가 고장나서 급하게 부르게 되었는데 좋아요.
제가 사용하는 제품은 이 모델 전 제품인데 에어프라이어 기능을 자동요리로만 사용가능해서 불편했거든요.
그리고 버튼도 더 편해요.
배송은 많이 늦었지만 만족합니다."
433,"가전은 역시 LG죠 ㅎㅎ
비슷한 다른 브랜드 제품들이랑 비교해봐도 스팀 등 성능이 단연 압도적이라 선택하게 되었습니다
신제품이라 배송은 일주일 정도 걸렸고 배송기사분 너무 친절하게 설명도 잘 해주셔서 앞으로 사용이 더 기대됩니다
디자인도 너무 이쁘게 잘 빠져서 주방이 확 사네요
아 그리고 걱정했던 전 모델에서 문 힌지에 힘이 없어서 쾅하고 내려왔던 부분도 개선되었네요
잘 사용해보겠습니다"
434,"4월 1일에 주문해서 4월 10일에 배송받았습니다.

오븐 갖고싶다고 노래~노래를 불렀는데 때마침 광파오븐 새제품이 나와서 바로 구매했어요!

전자레인지 + 오븐 + 에어프라이기를 하나로 쓸수 있다니~ 공간절약도되고 너무 좋습니다~

오자마자 통삼겹구이를 해먹었는데 기존에 쓰던 에어프라이기는 400g 두덩이를 구으려면 두번에 나눠서 구워야 하는데 굽는 과정마저도 한쪽면 구으면 뒤집어서 굽고 겉바속촉을 위한 고온으로 짧게 굽는거까지 총 6번을 돌려야 했거든요

근데 이젠 윗면 한번 아랫면 한번 고온한번 3번으로 한끼분량 뚝딱이니까 너무 편하고 좋습니다.

앞으로 주방 생활이 더 즐거워질 거 같습니다

#이벤트참여"
435,"가능한 많은 기능을 가진 제품을 찾아보다가 구입하게 되었습니다.
설치하니 예쁘고 배달 기사님도 친절하게 설명해 주셔서 좋았어요.
다만, 비싼 제품이니만큼 도색에 신경을 써주시면 좋겠고
배송은 2번 밀렸지만 크게 밀리지는 않았고 배송 희망일보다 약 4일정도 후에 받았습니다. 해외 생산 제품이라서 늦는다는 답변을 받아서 크게 기분이 나쁘지는 않았지만 추후 구입을 생각하시는 분들은 시간 여유를 충분히 둔 상태에서 받으시는게 좋을거 같아요.
많이 파세요~"
436,"다른 리뷰에서도 그렇듯이 생각보다 크기가 커서 그냥 전자레인지 수납장에는 안들어갔어요. 뒷편에 10cm는 남겨놔야한다고해서 저렇게 배치했는데도 이쁘네요ㅎㅎ
일단 꽝꽝 얼어있는 인절미떡 2분 해동해서 먹으니 완전 말랑거리고 전자레인지 효과는 괜찮아보여요. 해동할때 해동 돌아가다 한번씩 뒤집어달라고 작동을 잠시 멈추는게 당황했지만 막상 하라는 데로 하니 너무 잘되서 그냥 좋았어요ㅎㅎㅎ 고등어 구이 해보려다 첫날인데 냄새나는건 좀 그래서 내일 해보려구요ㅎㅎ 많이 파세요~~"
437,"#이벤트참여

벼르고있던 광파오븐 신제품이 출시되었길래
라이브 엘픽쇼 기다렸다 구매했습니다.

색상은 기존의 오브제 제품들과 동일한 베이지로 바로 골라보았어요
(하지만 클레이 민트도 엄청 끌렸습니다! 색 너무 귀여워요)

제가 요리를 상당히 못하는 초보기때문에
전자렌지와 에어프라이기가 있음에도 냉동 데워먹기정도만 하고 살았었는데
다 정리하고 광파오븐으로 갈아탄만큼 여러가지 음식들에 도전해보고
요리 초보, 초보 주부에서 벗어나고 싶습니다 ^.^

다들 광파오븐으로 맛있는 하루하루 되세요 ;)"
438,"#이벤트참여
기능도 정말 많고, 디자인이 너무 이뻐요. 인테리어에 잘 녹아드는 색인거같습니다~!"
439,"오늘 받아서 바로 쿠키 구워봤어요. 아이가 먼저 개시했습니다. 요즘 베이킹에 빠져서 이것 저것 만드는게 취미인 딸 아이를 위해서 구매 했는데 이것저것 만져보더니 기능도 많고 숙성도 된다고 좋아하네요. 분단위로 설정할 수 있어서 디테일 하다고 넘나 좋아합니다.
에어프라이어+오븐+전자레인지 기능이 복합이돼서 활용도가 정말 좋을것 같아요.
다만, 리터가 크니 제품도 크네요. 둘곳이 마땅치 않아 올려두긴 했는데 오븐이라서 진짜 크긴 하네요ㅎㅎ"
440,"디자인도 이쁘고 기사님도 친절하게 잘 설치랑 설명해주셨어요.
기능도 다양해서 확실히 만족도가 있네요"
441,"전자레인지를 바꾸려던 차에 마침 LG에서 새 제품이 나와 큰 맘 먹고 광파오븐을 구매했습니다. 🆕
오브제 컬렉션의 명성에 걸맞게 외관이 멋집니다. 😎
지금 막 설치해서 조리 기능은 사용하지 못했지만, 다양한 조리 기능을 제공하되 자주 쓰이는 주요 기능은 사용하기 쉽게 되어 있네요. 👍
간단 설명서에 따르면 제품을 처음 사용할 때 멀티클린-탈취 기능을 사용하면 새 제품 냄새를 어느 정도 뺄 수 있다더라고요. 💨
해당 기능이 작동 중인 모습을 사진으로 찍어 남깁니다. 📸
일상 속 크고 작은 요리가 더욱 즐거워지지 않을까 한껏 기대하고 있습니다. 😁

#이벤트참여"
442,"#이벤트 참여
20년 전에 엘지전자에서 엘지 쁘레오 가스오븐레인지를 구매했고 그시절에 방문 요리사가 오셔서 요리 시연 해주고 오븐 사용법 알려주던 시절이 있었는데 그때부터 엘지전자 대리점에서 제빵요리 오븐요리를 배워서 아직도 오븐요리 잘 사용하고 있는데요~

인덕션으로 교체하면서 가스오븐레인지를 교체해야해 광파오븐으로 교체했습니다, 두번에 배송지연으로 이벤트 참여 못하겠다 싶었는데 배송기사님이 오늘 딱 설치해주고 가셨네요~

시험삼아 오븐에 자동요리로 고구마 구웠는데 가스오븐에 비해 시간이 20분 이상 시간이 단축되고 고구마도 맛있게 구워져서 생각했던 것보다 만족스럽네요~ 다른요리도 해보고 싶은 맘이 들고 디자인도 저희집 씽크대 색상이랑 어울려서 만족스럽습니다. 전자렌지 돌리는것보다는 소음이 작지만 가스오븐렌지에 비해 소음은 다소 있는 편이지만 익숙해지면 괜찮을것 같습니다."
443,"#이벤트참여
기존에 있던 전자레인지,에어프라이어 정리하고 신상품 광파오븐 구매했습니다. 주문후 생산일로 배송일이 두번이나 늦춰 늦어졌지만 그만큼 인기가 있나봅니다.디자인깔금하고, 기능도 많아 잘 쓸거같습니다.좋네요~!!"
444,디자인도 좋고 동작도 간편합니다. 에어프라이 기능으로 고구마도 굽고 생선구이도 노릇노릇 잘 됩니다. 넣어놓고 신경 안써도 되어 편합니다.
445,"#이벤트참여
에어프라이기 따로 구입하려다가
오븐,에어프라이기,스팀,전자레인지 까지 되는
광파오븐 한대로 정착했습니다~
디자인도 너무 이쁘고 수비드 모드까지🧡
신제품이라 배송은 좀 걸렸지만....
대만족입니다~~"
446,광파오븐 24년 신형 구매했는데 예쁘고 좋아요 에어프라이어 온도랑 시간도 설정할수있어서 너무 좋은데 같이온 구이용 판이 깨져서 왔네요
447,"광파오븐 신형 출시 소식듣고 기다리다 샀어요.
전작에서 옥의티였던 손잡이, 에어프라이 기능의 아쉬움을 다 개선해준 갓쥐 기술자분들 감사드립니다.
오브제 다운 디자인이고 실물 너무 예뻐서 저는 매립을 과감히 포기하고 인테리어용으로 아일랜드 테이블 위에 올려두었어요!
값어치 제대로 하고 있습니다~~
#이벤트참여"
448,"#이벤트참여
신형 광파오븐! 식세기들이면서 매립됐던 전자랜지 없애고 전자랜지따로 에프 따로 고민하다 엘지광파 좋다고 추천받아서 두개따로 쓸바엔 자리차지도 별로 안되고 디자인도 예쁜 신형으로 신혼집에 장만했습니다 냉장고장에 맞추니 더 세련되고 예쁘네여 주말엔 에프로 요리좀 해봐야겠네용
디자인 너무 이쁘고 맘에 듭니다 굿굿
요알못이지만 광파로 실력 다져보겠습니당"
449,"#이벤트참여
신형 광파오븐! 기능이 너무 다양해서 아직 전부 사용해보진 못했어요. 그중에 에어프라이 기능을 사용해봤는데 너무 좋아요! 에프를 안사고 이거 하나로 종결! 거기에 스팀 찜기능으로 대게를 데워먹어봤는데 그저 신세계! 다양한 요리를 해볼수 있어 기대됩니다!"
450,"#이벤트참여
이전 모델 구매할까 고민했었는데 조작부가 이전 모델보다 직관적이라 훨씬 편하네요. 디자인도 더 시원시원하고 예쁩니다!
아이가 이유식 중이라 매일 사용중인데 아주 편하고 1000W라 잘 데워져요.
그리고 찐만두 해먹어봤는데 예술이네요! 찜기로 맨날 쪄먹었는데 광파오븐에 하니까 너무 편하고 촉촉하고 맛있어요
언젠가 수비드도 해먹어보고 싶어요. 아주 대만족입니다^^"
451,민트색 선택하였는데 이쁩니다~ 워낙 기능이 다양해 아직 적응 중입니다. 잘이용해 보겠습니다. 스팀청소 기능 좋네요~
452,"아파트 기본 빌트인 콤비오븐전자레인지가 있던자리에 넣었어요. 전에것도 정말 잘 썼는데 오래되어서 창도 떨어지고ㅎ
새로 사려고 알아보던시기에 신제품이 손잡이없이 디자인이 깔끔하여 잠시 기다렸다 바로 샀어요.
인덕션이 화이트라 패널도 화이트로 골랐더니 괜찮네요.

생선구이 간단베이킹 각종 냉동식품데워먹고 반찬데우고
토스트 등 골고루 다 잘 할 수 있을것 같아요!
원래 콤비오븐전자레인지, 에어프라이어, 미니오븐까지 있었는데 다 치우고, 엘지디오스 오브제컬렉션 광파오븐 하나로 주방이 넓어졌네요~

오전에 설치받고 내부 간단히 닦고 멀티클린-탈취 기능 돌리니 10분정도 걸리더라구요.
그리곤 에어프라이어 기능으로 핫도그, 자동요리-토스트 기능으로 바삭바삭 토스트, 그리고 스콘반죽해서 오븐 돌려봤어요
너무 잘 샀어요

에어수비드와 스팀오븐, 스팀청소 기능이 기대가 됩니다!"
453,"#이벤트참여
광파오븐 받기까지 정말 힘들었네요
이전 오브제 광파오븐이 배송이 안되어서 구매취소를 반복했어요. 2주를 기다려도 올생각은 없고 갑자기 새오븐이 출시되어 급변경했는데 결제를 하기전 매장가서 보고 결제를 하려다 일주일이 또 늦어져버렸어요.
결제하고 구경갈껄 엄청 후회하고 2주후인 토욜 받았습니다
이미 사용하던 오븐을 한달전 버린상태라서 오매불망 요것만 기다렸는데 터치로 선택만 해주면 되서 편하고 디쟌도 완죤 느므느므 이쁨니다."
454,"#이벤트 참여
원래 보고있던 제품이 있는데
신제품 나와서 보니까 디자인이 더 맘에 들어서
이걸로 구매했어요 ㅎㅎ
아직 사용전이지만 좋을거 같아요 !
메뉴 터치하는 부분이 좀 더 잘보이면 좋을거같아요 😊"
455,#이벤트참여 디자인이 너무 이뻐서 구매했어요 올해 새로나온 오브제컬렉션이라서 아주 이쁘게 잘빠졌네요. 기능도 많고 레시피도 어플로 바로 확인가능해서 아주 유용하게 사용중입니다.
456,"#이벤트참여
광파오븐 좋네요. 기존 에어프라이와 전자레인지가 오래되서 한번에 가능한 광파오븐을 구매했는데 너무 좋네요. 처음으로 고구마 해먹었는데 좋습니다. 조작도 간편하네요"
457,"#이벤트참여

LG에서 이번에 광파오븐이 신상이 나와서 예전에 사용하던 것을 버리고 새로 구입했어요.
전에 사용하던 타 브랜드 오븐도 복합오븐이여서 원래 있던 자리에 잘 들어갔어요.
화이트로 샀고, 정말 깔끔하고 예뻐요.
역시 LG는 디자인도 놓치지 않아서 부엌 분위기가 더 환해졌어요.
예전 오븐을 사용하면서 살짝 아쉬웠던 점이 요리를 끝내고 오븐 안을 환기 시키고 싶어서 문을 살짝 열어놓는 것이 안되서 활짝 열고 잠시 환기 시키고 문을 닫았는데, LG디오스 오브제컬렉션 광파오븐은 문을 살짝 걸쳐놓을 수 있게 되어 있어서 그 점이 특히 마음에 들어요.
그리고 LG thinQ 앱이랑 연동이 되어서 더욱 편리해요."
458,아직 안써봤지만 디자인은 정말예뻐요
459,"#이벤트참여

이번에 LG 광파오븐 신제품이 나왔다길래 바로 구매해봤습니다. 특히 기대하고 있는 기능은 에어수비드입니다.
전자레인지 기능 뿐만 아니라, 토스트나 에어프라이어 기능도 광파오븐이 다 하기 때문에 다른 소형가전이 필요없이 광파오븐만 들이면 돼서 넘 좋네요 ㅎㅎ
크기가 생각보다 좀 크긴 하지만 그만큼 용량도 크단 거니까 만족합니다 ^^"
460,"#이벤트참여
예전에 가스레인지와 오븐이 일체형인 엘지제품을 사용했었는데 그때도 오븐의 기능이 만족스러웠어서 다시 엘지제품을 사야겠다 마음 먹고 보던 중 신제품이 나와 바로 구매했습니다. 그 전에 사용한 오븐보다 내부가 커지고 다양한 기능에 심플한 조작법이 마음에 듭니다. 앞으로 많은 요리를 함께 할 수 있을것 같아 기대됩니다."
461,"# 이벤트 참여

앞전.모델 사용하다
신제품이 가능적으로 더 좋아 다시 구매했어요
제일 마음에 드는건 에어프라이어 온도와.시간을
수동으로 조절 할수 있다는거예요
앞전 모델은 자동으로 설정되어 있어 에어프라이어를
따로 사용했는데 이번.신제품 구매하고 중복되는 소형가전
전부 없앴더니 주방이 깔끔하니 더.넓어졌어요
적극 추천입니다~"
462,"그 동안 구형 광파오븐을 써오면서 너무 불편해서 신상나오기를 기다렸는데 드디어 새로나와서 고민하지않고 구입했습니다.
기존꺼는 완전 초창기 모델이라 에어프라이기능도 없어서 너무 불편해쓴ㄴ데 이제 에어프라이도 되고 무엇보다 디자인이 더 예뻐지고 도어가 확 안열려서 너무 좋습니다. 신상 나오기 전 매장가서 광파오븐 보는데 신제품말고는 다 문이 안멈추고 확확 열려서 좀 위험해보였어요. 이 부분 개선되서 아주 만족합니다."
463,"컬러도 실물이 훨씬 예쁘고 고급스러우며,
기존의 오브제 워시타워 및 얼음정수기 냉장고와도 매우 잘 어우러집니다.
#이벤트참여"
464,"#이벤트 참여

이번에 구입한 LG 디오스 오브제컬렉션 광파오븐 신제
품은 우선 디자인이 아주 예쁘고 깔끔해요.
그리고, 작동중 소음이 거의 없이 조용해서 좋구요.
가동시간이 짧아져서 더욱 편리해진 점도 마음에 쏙 듭니다. 모든 면에서 만족할 만한 제품이네요."
465,"안녕하세요! 이번에 신혼집에 LG전자의 매력적인 핑크색 광파오븐을 구매하게 되었습니다. 핑크색 광파오븐은 단순한 주방 기기를 넘어서, 우리의 요리 환경에 색다른 분위기를 제공하는 것 같아요 ㅎㅎ. 빠른 예열, 균일한 조리를 가능하게 해주는 첨단 기술도 탑재되어 있어서 너무 만족합니다! 치킨을 해먹어봤는데 바깥은 바삭하고 안은 촉촉한게 요리의 풍미를 더욱 끌어올려주는 것 같아 행복한 신혼생활을 기대해 봅니다^^ 감사합니다.
#이벤트참여"
466,"#포토리뷰이벤트

따끈따끈한 신상이라 생산지연으로 이틀 늦게 배송되었지만!
전자레인지, 오븐, 에어프라이어 일체형에 UI 및 디자인도 수려합니다.

덩치는 좀 있는편이고 내부공간도 널찍하네요"
467,"저는 오븐 자체를 처음 사봤어요. 오늘 바로 받자마자 고등어구이에 냉동 핫도그도 해 먹어봤는데 남편이 처음에는 오븐 필요있나 하더니만 확실히 맛이 있게 조리됐다네요. 하루에 오븐,전자레인지,에프 다 사용해봤어요 ㅎㅎ 전자레인지 기능이 약하다는 말들이 있어서 기존꺼는 그대로 뒀는데 전자레인지도 아주 좋습니다. 좁은 집인데도 딱 맞게 공간도 생겼고 심플하니 넘 좋습니다 . 스팀청소도 해봤는데 위에는 닦기가 불편하지만 워낙 청소를 좋아하는지라 바로바로 닦으니 더러워질 일은 없을듯하네요. 기사님도 아주 친절하고 신속하게 설치해줬습니다. 생일 쿠폰 적용해서 가장 저렴하게 잘 샀네요"
468,"#이벤트참여

간만에 광파오븐 신제품이 출시되어서 알자마자 구매했어요~
제품 재고가 부족해서 그런지 예정일보다 며칠 늦게 받긴했네요
하단 베이지 라인 색깔이 생각보다 은은하고 주방에 잘어울리네요

작동을 해보니 기존에 사용하면 전자레인지+에어프라이기보다 횔씬 퀄리티있게 조리가 되구요 소음도 적어서 만족하면서 쓰고있습니다.

내부 디자인도 청소하기 좋은 심플한 디자인이라 맘에 들어요"
469,"#이벤트참여
생각보다 커요! 받자마자 스팀청소 돌렸는데 내부가 더러워서 여러번 청소하고 써야겠어오ㅎㅎ 에어프라이기도 쓸 수 있어서 좋네오"
